Game Number,Agent Name,Balance,Games Won
92,Agent 719,0.0,0
92,Agent 721,0.0,0
92,Agent 706,204495.90000000002,1
93,Agent 706,8303.600000000035,1
93,Agent 723,0.0,0
93,Agent 724,0.0,0
93,Agent 725,0.0,0
93,Agent 726,0.0,0
93,Agent 728,0.0,0
93,Agent 729,0.0,0
93,Agent 717,501911.7,2
94,Agent 730,94702.0,1
94,Agent 731,0.0,0
94,Agent 732,0.0,0
94,Agent 733,0.0,0
94,Agent 734,0.0,0
94,Agent 735,0.0,0
94,Agent 736,0.0,0
94,Agent 737,94702.0,1
94,Agent 706,0.0,1
94,Agent 717,144291.36959999998,2
95,Agent 717,92153.17759999997,2
95,Agent 738,0.0,0
95,Agent 739,0.0,0
95,Agent 740,0.0,0
95,Agent 741,0.0,0
95,Agent 742,0.0,0
95,Agent 743,0.0,0
95,Agent 744,151421.0,1
95,Agent 730,42563.808000000005,1
95,Agent 737,42563.80800000001,1
96,Agent 737,0.0,1
96,Agent 745,0.0,0
96,Agent 746,0.0,0
96,Agent 747,0.0,0
96,Agent 748,0.0,0
96,Agent 749,0.0,0
96,Agent 750,0.0,0
96,Agent 717,335686.0,3
96,Agent 744,7649.416171520006,1
97,Agent 744,0.0,1
97,Agent 751,0.0,0
97,Agent 752,0.0,0
97,Agent 753,0.0,0
97,Agent 754,0.0,0
97,Agent 755,0.0,0
97,Agent 756,0.0,0
97,Agent 757,326635.0,1
97,Agent 758,0.0,0
97,Agent 717,96699.6,3
98,Agent 717,307414.0,4
98,Agent 759,0.0,0
98,Agent 760,0.0,0
98,Agent 761,0.0,0
98,Agent 762,0.0,0
98,Agent 763,0.0,0
98,Agent 764,0.0,0
98,Agent 765,0.0,0
98,Agent 766,0.0,0
98,Agent 757,195919.80800000002,1
99,Agent 767,0.0,0
99,Agent 768,0.0,0
99,Agent 769,0.0,0
99,Agent 770,0.0,0
99,Agent 771,0.0,0
99,Agent 772,0.0,0
99,Agent 773,0.0,0
99,Agent 774,0.0,0
99,Agent 717,278822.0192,4
99,Agent 757,304510.82720000006,2
100,Agent 757,13795.134508800074,2
100,Agent 775,0.0,0
100,Agent 777,0.0,0
100,Agent 778,0.0,0
100,Agent 780,0.0,0
100,Agent 781,0.0,0
100,Agent 782,0.0,0
100,Agent 717,629536.0,5
101,Agent 783,0.0,0
101,Agent 784,0.0,0
101,Agent 785,0.0,0
101,Agent 786,0.0,0
101,Agent 787,50104.0,1
101,Agent 788,50104.0,1
101,Agent 790,0.0,0
101,Agent 757,0.0,2
101,Agent 717,200304.07692574462,5
102,Agent 791,0.0,0
102,Agent 792,0.0,0
102,Agent 793,166734.0,1
102,Agent 794,0.0,0
102,Agent 795,0.0,0
102,Agent 796,0.0,0
102,Agent 797,0.0,0
