Game Number,Agent Name,Balance,Games Won
79,Agent 649,10000,0
79,Agent 650,10000,0
79,Agent 651,10000,0
80,Agent 646,118198.0,1
80,Agent 648,118198.0,1
80,Agent 640,44483.01900000001,1
80,Agent 652,10000,0
80,Agent 653,10000,0
80,Agent 654,10000,0
80,Agent 655,10000,0
80,Agent 656,10000,0
80,Agent 657,10000,0
80,Agent 658,10000,0
81,Agent 648,93836.35164,1
81,Agent 640,154565.37064,2
81,Agent 646,93836.35164,1
81,Agent 659,10000,0
81,Agent 660,10000,0
81,Agent 661,10000,0
81,Agent 662,10000,0
81,Agent 663,10000,0
81,Agent 664,10000,0
81,Agent 665,10000,0
82,Agent 659,230694.0,1
82,Agent 640,61888.07025248001,2
82,Agent 646,1159.0512524800004,1
82,Agent 666,10000,0
82,Agent 667,10000,0
82,Agent 668,10000,0
82,Agent 669,10000,0
82,Agent 670,10000,0
82,Agent 671,10000,0
82,Agent 672,10000,0
83,Agent 667,134393.0,1
83,Agent 672,134393.0,1
83,Agent 659,34925.44,1
83,Agent 673,10000,0
83,Agent 674,10000,0
83,Agent 675,10000,0
83,Agent 676,10000,0
83,Agent 677,10000,0
83,Agent 678,10000,0
83,Agent 679,10000,0
84,Agent 667,186853.84262399998,2
84,Agent 672,186853.84262399998,2
84,Agent 680,10000,0
84,Agent 681,10000,0
84,Agent 682,10000,0
84,Agent 683,10000,0
84,Agent 684,10000,0
84,Agent 685,10000,0
84,Agent 686,10000,0
84,Agent 687,10000,0
85,Agent 684,271023.0,1
85,Agent 667,25608.5763936,2
85,Agent 672,25608.576393599997,2
85,Agent 688,10000,0
85,Agent 689,10000,0
85,Agent 690,10000,0
85,Agent 691,10000,0
85,Agent 692,10000,0
85,Agent 693,10000,0
85,Agent 694,10000,0
86,Agent 667,139921.0,3
86,Agent 688,57086.0,1
86,Agent 684,195230.4677735506,1
86,Agent 695,10000,0
86,Agent 696,10000,0
86,Agent 697,10000,0
86,Agent 698,10000,0
86,Agent 699,10000,0
86,Agent 700,10000,0
86,Agent 701,10000,0
87,Agent 684,53031.73421884049,1
87,Agent 696,136401.0,1
87,Agent 697,136401.0,1
87,Agent 701,136401.0,1
87,Agent 702,10000,0
87,Agent 703,10000,0
87,Agent 704,10000,0
87,Agent 705,10000,0
